evidence_id,source_name,organization_type,primary_geography,signal_strength_for_sw,source_type,source_locator,base_source_url,page_title,excerpt,entity,value_chain_role_A4,signal_type_A3,claim_tags_A5,mapped_market_A1_1,mapped_market_A1_2,mapped_market_A1_3,mapped_tech_A2_1,mapped_tech_A2_2,mapped_tech_A2_3,conditions_of_use_A6_notes,date_published_or_observed,captured_date,ingestion_method,mapping_confidence,mapped_by,mapped_on,analyst_notes
EV-2F7A957B,Packaging Europe,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/,https://packagingeurope.com/,A sustainable future for packaging | Packaging News,"Packaging Europe brings its readers latest packaging technology, design and innovation news updates and views from all over Europe. Packaging Europe magazine is Europe's premium packaging publication",Packaging Europe,Technology Provider,Pilot / Trial / Customer validation,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-9408607F,Packaging Europe,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/features/how-the-packaging-industry-is-embracing-intelligent-sorting/14287.article,https://packagingeurope.com/,How the packaging industry is embracing intelligent sorting,[From Packaging Europe listing] How the packaging industry is embracing intelligent sorting,Packaging Europe,Technology Provider,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-8909A31D,Packaging Europe,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/features/packaging-europes-reflections-on-interpack-2026/14282.article,https://packagingeurope.com/,Packaging Europe’s reflections on interpack 2026,[From Packaging Europe listing] Packaging Europe’s reflections on interpack 2026,Packaging Europe,Technology Provider,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-DD039DC0,Packaging Europe,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/features/how-is-the-strait-of-hormuz-crisis-impacting-european-plastics-recycling/14213.article,https://packagingeurope.com/,How is the Strait of Hormuz crisis impacting European plastics recycling?,[From Packaging Europe listing] How is the Strait of Hormuz crisis impacting European plastics recycling?,Packaging Europe,Technology Provider,Regulatory milestone,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-6C980836,Packaging Europe – News,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/sections/news,https://packagingeurope.com/sections/news,Packaging News | Packaging Europe,Latest Packaging News by Packaging Europe,Packaging Europe – News,Technology Provider,Pilot / Trial / Customer validation,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-FABAFE8A,Packaging Europe – News,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/features/the-ultimate-guide-to-packaging-innovation-in-2026/13821.article,https://packagingeurope.com/sections/news,The ultimate guide to packaging innovation in 2026,[From Packaging Europe – News listing] The ultimate guide to packaging innovation in 2026,Packaging Europe – News,Technology Provider,Patent / IP,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-E8F46056,Packaging Europe – News,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/comment/how-packaging-data-gaps-can-impact-compliance-and-investment/14322.article,https://packagingeurope.com/sections/news,How packaging data gaps can impact compliance and investment,[From Packaging Europe – News listing] How packaging data gaps can impact compliance and investment,Packaging Europe – News,Technology Provider,Capacity expansion / Capex,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-AF547C70,Packaging Europe – News,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/sk-chemicals-seven-plastic-materials-confirmed-compatible-with-eu-recycling/14317.article,https://packagingeurope.com/sections/news,SK Chemicals’ seven plastic materials confirmed compatible with EU recycling,[From Packaging Europe – News listing] SK Chemicals’ seven plastic materials confirmed compatible with EU recycling,Packaging Europe – News,Technology Provider,Patent / IP,,Industrial / Specialty – Chemicals / Aggressive contents,,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.9,extract_sources.py v1,2026-05-27,
EV-B5CD6512,Packaging Europe – News,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/news/disposable-baby-diapers-recycled-into-pyrolysis-oils-to-produce-new-plastics/14316.article,https://packagingeurope.com/sections/news,Disposable baby diapers recycled into pyrolysis oils to produce new plastics,[From Packaging Europe – News listing] Disposable baby diapers recycled into pyrolysis oils to produce new plastics,Packaging Europe – News,Technology Provider,Patent / IP,,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-9BD06BCF,Packaging Europe – News,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/news/fold-and-squeeze-paper-pack-dispenses-98-of-liquid-product-for-easy-use/14313.article,https://packagingeurope.com/sections/news,Fold-and-squeeze paper pack dispenses 98% of liquid product for easy use,[From Packaging Europe – News listing] Fold-and-squeeze paper pack dispenses 98% of liquid product for easy use,Packaging Europe – News,Technology Provider,Patent / IP,,(not detected — see source),,,(not detected — see source),,,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.6,extract_sources.py v1,2026-05-27,
EV-9FAF3F70,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/topics/sustainability/,https://packagingeurope.com/topics/sustainability/,Packaging Europe | A Sustainable Future for Packaging,Sustainable packaging innovation and green technologies cutting waste and reducing energy consumption for environmentally friendly supply chains,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-FABAFE8A,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/features/the-ultimate-guide-to-packaging-innovation-in-2026/13821.article,https://packagingeurope.com/topics/sustainability/,The ultimate guide to packaging innovation in 2026,[From Packaging Europe – Sustainability Topic Hub listing] The ultimate guide to packaging innovation in 2026,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-B5CD6512,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/news/disposable-baby-diapers-recycled-into-pyrolysis-oils-to-produce-new-plastics/14316.article,https://packagingeurope.com/topics/sustainability/,Disposable baby diapers recycled into pyrolysis oils to produce new plastics,[From Packaging Europe – Sustainability Topic Hub listing] Disposable baby diapers recycled into pyrolysis oils to produce new plastics,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-9BD06BCF,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/news/fold-and-squeeze-paper-pack-dispenses-98-of-liquid-product-for-easy-use/14313.article,https://packagingeurope.com/topics/sustainability/,Fold-and-squeeze paper pack dispenses 98% of liquid product for easy use,[From Packaging Europe – Sustainability Topic Hub listing] Fold-and-squeeze paper pack dispenses 98% of liquid product for easy use,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-C84E0664,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/sustainability/350.subject,https://packagingeurope.com/topics/sustainability/,View All Sustainability Articles,[From Packaging Europe – Sustainability Topic Hub listing] View All Sustainability Articles,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-446A1B20,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/news/fresh-fibre-fluting-added-to-holmens-ultra-lightweight-cartonboard-lineup/14310.article,https://packagingeurope.com/topics/sustainability/,Fresh-fibre fluting added to Holmen’s ‘ultra-lightweight’ cartonboard lineup,[From Packaging Europe – Sustainability Topic Hub listing] Fresh-fibre fluting added to Holmen’s ‘ultra-lightweight’ cartonboard lineup,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,Paperboard Cartons – Barrier & grease-resistant,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
EV-DF935C53,Packaging Europe – Sustainability Topic Hub,Trade Press,Global / EU-weighted,High,web,https://packagingeurope.com/features/tracking-the-biggest-sustainable-packaging-trends-with-spcs-olga-kachook/14306.article,https://packagingeurope.com/topics/sustainability/,Tracking the biggest sustainable packaging trends with SPC’s Olga Kachook,[From Packaging Europe – Sustainability Topic Hub listing] Tracking the biggest sustainable packaging trends with SPC’s Olga Kachook,Packaging Europe – Sustainability Topic Hub,Certification / Testing Lab,Material performance claim,compostable,(not detected — see source),,,"Recyclability enabling tech (de-inking, wash-off, adhesive releasability)",Compostability certification path (industrial/home),,(unknown – manual review needed),2026-05-27,2026-05-27,assisted,0.75,extract_sources.py v1,2026-05-27,
